Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Predicted_global_active_power
4.216,0.418,234.84,18.4,0.0,1.0,17.0,4.335072035714285
5.36,0.436,233.63,23.0,0.0,1.0,16.0,5.365504158730159
5.374,0.498,233.29,23.0,0.0,2.0,17.0,5.3724946746031765
5.388,0.502,233.74,23.0,0.0,1.0,17.0,5.371542777777778
3.666,0.528,235.68,15.8,0.0,1.0,17.0,3.689623884559883
3.52,0.522,235.02,15.0,0.0,2.0,17.0,3.514847477633477
3.702,0.52,235.09,15.8,0.0,1.0,17.0,3.6923511031746035
3.7,0.52,235.22,15.8,0.0,1.0,17.0,3.693485031746032
3.668,0.51,233.99,15.8,0.0,1.0,17.0,3.6763311825396805
3.662,0.51,233.86,15.8,0.0,2.0,16.0,3.6725967023809507
4.448,0.498,232.86,19.6,0.0,1.0,17.0,4.514460518037519
5.412,0.47,232.78,23.2,0.0,1.0,17.0,5.393830539682539
5.224,0.478,232.99,22.4,0.0,1.0,16.0,5.215321737373736
5.268,0.398,232.91,22.6,0.0,2.0,17.0,5.260293456349205
4.054,0.422,235.24,17.6,0.0,1.0,17.0,4.0951858492063495
3.384,0.282,237.14,14.2,0.0,0.0,17.0,3.3708380595238068
3.27,0.152,236.73,13.8,0.0,0.0,17.0,3.2627572572150063
3.43,0.156,237.06,14.4,0.0,0.0,17.0,3.429961503607503
3.266,0.0,237.13,13.8,0.0,0.0,18.0,3.254503575396825
3.728,0.0,235.84,16.4,0.0,0.0,17.0,3.833750995143743
5.894,0.0,232.69,25.4,0.0,0.0,16.0,5.909425134920635
7.706,0.0,230.98,33.2,0.0,0.0,17.0,7.652347039682541
7.026,0.0,232.21,30.6,0.0,0.0,16.0,6.996865206349204
5.174,0.0,234.19,22.0,0.0,0.0,17.0,5.213970626262627
4.474,0.0,234.96,19.4,0.0,0.0,17.0,4.50875606168831
3.248,0.0,236.66,13.6,0.0,0.0,17.0,3.228781582251082
3.236,0.0,235.84,13.6,0.0,0.0,17.0,3.2299674025974032
3.228,0.0,235.6,13.6,0.0,0.0,17.0,3.2260249462481965
3.258,0.0,235.49,13.8,0.0,0.0,17.0,3.2526604282106764
3.178,0.0,235.28,13.4,0.0,0.0,17.0,3.1260528120490614
2.72,0.0,235.06,11.6,0.0,0.0,17.0,2.711938560606061
3.758,0.076,234.17,16.4,0.0,0.0,17.0,3.8220830189532675
4.342,0.09,233.77,18.4,0.0,0.0,16.0,4.313338174603175
4.512,0.0,233.62,19.2,0.0,0.0,17.0,4.501693696248197
4.058,0.2,234.68,17.6,0.0,0.0,17.0,4.093885317460317
2.472,0.058,236.94,10.4,0.0,0.0,17.0,2.4721863881673887
2.79,0.18,237.52,11.8,0.0,0.0,18.0,2.810230636724386
2.624,0.144,238.2,11.0,0.0,0.0,17.0,2.624481998196247
2.772,0.118,238.28,11.6,0.0,0.0,17.0,2.7722244145021646
3.74,0.108,236.93,16.4,0.0,16.0,18.0,3.8116613973803983
4.928,0.202,235.01,21.0,0.0,37.0,16.0,4.879803860750361
6.052,0.192,232.93,26.2,0.0,37.0,17.0,6.116915251082255
6.752,0.186,232.12,29.0,0.0,36.0,17.0,6.758319031746034
6.474,0.144,231.85,27.8,0.0,37.0,16.0,6.4672507012987035
6.308,0.116,232.25,27.0,0.0,36.0,17.0,6.249963697330449
4.464,0.136,234.66,19.0,0.0,37.0,16.0,4.446064358946607
3.396,0.148,236.2,15.0,0.0,22.0,18.0,3.476192599927848
3.09,0.152,237.07,13.8,0.0,12.0,17.0,3.1886759635642123
3.73,0.144,235.78,16.4,0.0,27.0,17.0,3.8165230445665435
2.308,0.16,237.43,9.6,0.0,1.0,17.0,2.285970887806638
2.388,0.158,237.26,10.0,0.0,1.0,17.0,2.3322741349206355
4.598,0.1,234.25,21.4,0.0,20.0,17.0,4.807449626984127
4.524,0.076,234.2,19.6,0.0,9.0,17.0,4.521398516233764
4.202,0.082,234.31,17.8,0.0,1.0,17.0,4.148606206349204
4.472,0.0,233.29,19.2,0.0,1.0,16.0,4.487538767676771
2.852,0.0,235.61,12.0,0.0,1.0,17.0,2.831965838383839
2.928,0.0,235.25,12.4,0.0,1.0,17.0,2.9228341522366517
2.94,0.0,236.04,12.4,0.0,2.0,17.0,2.9266044787157286
2.934,0.0,235.51,12.4,0.0,1.0,17.0,2.9221510569985565
2.926,0.0,235.68,12.4,0.0,1.0,17.0,2.923167739538239
3.452,0.0,235.2,15.2,0.0,1.0,17.0,3.5361453095238073
4.87,0.0,233.74,20.8,0.0,1.0,17.0,4.877356817460317
4.868,0.0,233.84,20.8,0.0,1.0,17.0,4.8733332380952366
4.866,0.0,233.79,20.8,0.0,1.0,17.0,4.875455904761903
3.176,0.0,235.5,13.8,0.0,1.0,17.0,3.212066984126984
2.92,0.0,235.84,12.4,0.0,1.0,17.0,2.9223727395382384
2.93,0.0,236.15,12.4,0.0,1.0,17.0,2.922405335858585
2.912,0.05,235.81,12.4,0.0,1.0,17.0,2.9156673109668105
2.608,0.052,235.41,11.0,0.0,1.0,17.0,2.5972568055555545
2.714,0.162,234.82,11.6,0.0,0.0,17.0,2.6901449419191916
3.538,0.086,233.76,15.6,0.0,1.0,16.0,3.646779015873014
6.072,0.0,232.48,26.4,0.0,27.0,17.0,6.103203465367967
4.536,0.0,233.54,19.4,0.0,1.0,17.0,4.512023018037518
4.408,0.0,232.32,18.8,0.0,1.0,16.0,4.362175406926406
2.912,0.048,234.02,13.0,0.0,1.0,17.0,2.982863171717174
2.326,0.054,234.76,9.8,0.0,1.0,17.0,2.321410059523809
2.264,0.054,234.67,9.6,0.0,1.0,17.0,2.2744399790764804
2.27,0.054,235.27,9.6,0.0,1.0,17.0,2.2743229790764805
2.258,0.054,235.12,9.6,0.0,1.0,17.0,2.27416797907648
2.188,0.068,235.8,9.2,0.0,1.0,17.0,2.185542702380953
2.978,0.166,234.81,13.2,0.0,1.0,17.0,3.0484221071428586
4.2,0.174,234.38,17.8,0.0,1.0,17.0,4.131882226190477
4.204,0.186,234.2,17.8,0.0,1.0,16.0,4.162237253968252
4.218,0.178,233.98,18.0,0.0,1.0,17.0,4.21635232142857
2.786,0.188,234.99,12.0,0.0,2.0,17.0,2.81001150108225
2.54,0.088,234.67,10.8,0.0,4.0,17.0,2.5410336630591615
2.496,0.08,233.92,10.6,0.0,3.0,17.0,2.489348367965368
2.336,0.07,233.51,10.0,0.0,1.0,16.0,2.337327697330447
2.322,0.0,233.44,9.8,0.0,0.0,17.0,2.3357843174603166
2.448,0.0,233.64,10.6,0.0,1.0,17.0,2.465267448412699
4.298,0.0,232.39,18.4,0.0,1.0,16.0,4.3168484448051965
4.23,0.09,232.25,18.2,0.0,1.0,17.0,4.2379620479798
4.23,0.09,232.32,18.2,0.0,2.0,16.0,4.241751079725833
3.924,0.084,232.79,17.0,0.0,1.0,17.0,3.9782343849206345
4.218,0.09,232.09,18.0,0.0,1.0,17.0,4.192429653318903
4.224,0.09,231.96,18.2,0.0,1.0,16.0,4.239397413059167
4.07,0.088,231.99,17.4,0.0,1.0,17.0,4.092247042207792
3.612,0.09,232.36,15.6,0.0,2.0,16.0,3.59176614069264
3.458,0.09,232.71,14.8,0.0,1.0,17.0,3.4463864635642123
3.434,0.09,232.01,14.8,0.0,1.0,16.0,3.4426199080086555
3.366,0.0,232.78,14.4,0.0,1.0,17.0,3.3784512705627687
3.404,0.082,233.08,14.6,0.0,2.0,16.0,3.401776097402598
3.382,0.074,233.69,14.4,0.0,0.0,17.0,3.3771415335497834
